,Unnamed: 0,name,poem,num_poems,birth,death,epoch
0,0,James Thomson,shall the great soul of newton quit this earth  to mingle with his stars and every muse astonishd into silence shun the weight of honours due to his illustrious name but what can maneven now the sons of light in strains highwarbled to seraphic lyre hail his arrival on the coast of bliss yet am not i deterrd though high the theme and sung to harps of angels for with you ethereal flames ambitious i aspire in natures general symphony to join   and what new wonders can ye show your guest who while on this dim spot where mortals toil clouded in dust from motions simple laws could trace the secret hand of providence wideworking through this universal frame   have ye not listend while he bound the suns and planets to their spheres th unequal task of humankind till then oft had they rolld oer erring man the year and oft disgracd the pride of schools before their course was known full in its causes and effects to him allpiercing sage who sat not down and dreamd romantic schemes defended by the din of specious words and tyranny of names but bidding his amazing mind attend and with heroic patience years on years deepsearching saw at last the system dawn and shine of all his race on him alone   what were his raptures then how pure how strong and what the triumphs of old greece and rome by his diminishd but the pride of boys in some small fray victorious when instead of shatterd parcels of this earth usurpd by violence unmanly and sore deeds of cruelty and blood nature herself stood all subdud by him and open laid her every latent glory to his view   all intellectual eye our solarround first gazing through he by the blended power of gravitation and projection saw the whole in silent harmony revolve from unassisted vision hid the moons to cheer remoter planets numerous pourd by him in all their mingled tracts were seen he also fixd the wandering queen of night whether she wanes into a scanty orb or waxing broad with her pale shadowy light in a soft deluge overflows the sky her every motion cleardiscerning he adjusted to the mutual main and taught why now the mighty mass of water swells resistless heaving on the broken rocks and the full river turning till again the tide revertive unattracted leaves a yellow waste of idle sands behind   then breaking hence he took his ardent flight through the blue infinite and every star which the clear concave of a winters night pours on the eye or astronomic tube farstretching snatches from the dark abyss or such as farther in successive skies to fancy shine alone at his approach blazd into suns the living centre each of an harmonious system all combind and ruld unerring by that single power which draws the stone projected to the ground   o unprofuse magnificence divine o wisdom truly perfect thus to call from a few causes such a scheme of things effects so various beautiful and great an universe complete and o belovd of heaven whose wellpurgd penetrative eye the mystic veil transpiercing inly scannd the rising moving wideestablishd frame   he first of men with awful wing pursud the comet through the long elliptic curve as round innumerous worlds he wound his way till to the forehead of our evening sky returnd the blazing wonder glares anew and oer the trembling nations shakes dismay   the heavens are all his own from the wild rule of whirling vortices and circling spheres to their first great simplicity restord the schools astonishd stood but found it vain to keep at odds with demonstration strong and unawakend dream beneath the blaze of truth at once their pleasing visions fled with the gay shadows of the morning mixd when newton rose our philosophic sun th arial flow of sound was known to him from whence it first in wavy circles breaks till the touchd organ takes the message in nor could the darting beam of speed immense escape his swift pursuit and measuring eye evn light itself which every thing displays shone undiscoverd till his brighter mind untwisted all the shining robe of day and from the whitening undistinguishd blaze collecting every ray into his kind to the charmd eye educd the gorgeous train of parent colours first the flaming red sprung vivid forth the tawny orange next and next delicious yellow by whose side fell the kind beams of allrefreshing green then the pure blue that swells autumnal skies ethereal played and then of sadder hue emergd the deepend indigo as when the heavyskirted evening droops with frost while the last gleamings of refracted light died in the fainting violet away these when the clouds distil the rosy shower shine out distinct adown the watry bow while oer our heads the dewy vision bends delightful melting on the fields beneath myriads of mingling dyes from these result and myriads still remaininfinite source of beauty ever flushing ever new   did ever poet image aught so fair dreaming in whispring groves by the hoarse brook or prophet to whose rapture heaven descends evn now the setting sun and shifting clouds seen greenwich from thy lovely heights declare how just how beauteous the refractive law   the noiseless tide of time all bearing down to vast eternitys unbounded sea where the green islands of the happy shine he stemmd alone and to the source involvd deep in primeval gloom ascending raisd his lights at equal distances to guide historian wilderd on his darksome way   but who can number up his labours who his high discoveries sing when but a few of the deepstudying race can stretch their minds to what he knewin fancys lighter thought how shall the muse then grasp the mighty theme   what wonder thence that his devotion swelld responsive to his knowledge for could he whose piercing mental eye diffusive saw the finishd university of things in all its order magnitude and parts forbear incessant to adore that power who fills sustains and actuates the whole   say ye who best can tell ye happy few who saw him in the softest lights of life all unwithheld indulging to his friends the vast unborrowd treasures of his mind oh speak the wondrous man how mild how calr how greatly humble how divinely good how firm establishd on eternal truth fervent in doing well with every nerve still pressing on forgetful of the past and panting for perfection far above those little cares and visionary joys that so perplex the fond impassiond heart of evercheated evertrusting man this conduitt from thy rural hours we hope as through the pleasing shade where nature pours her every sweet in studious ease you walk the social passions smiling at thy heart that glows with all the recollected sage   and you ye hopeless gloomyminded tribe you who unconscious of those nobler flights that reach impatient at immortal life against the prime endearing privilege of being dare contendsay can a soul of such extensive deep tremendous powers enlarging still be but a finer breath of spirits dancing through their tubes awhile and then for ever lost in vacant air   but hark methinks i hear a warning voice solemn as when some awful change is come sound through the world tis donethe measures full and i resign my chargeye mouldering stones that build the towering pyramid the proud triumphal arch the monument effacd by ruthless ruin and whateer supports the worshipd name of hoar antiquity down to the dust what grandeur can ye boast while newton lifts his column to the skies beyond the waste of time let no weak drop be shed for him the virgin in her bloom cut off the joyous youth and darling child these are the tombs that claim the tender tear and elegiac song but newton calls for other notes of gratulation high that now he wanders through those endless worlds he here so well descried and wondering talks and hymns their author with his glad compeers   o britains boast whether with angels thou sittest in dread discourse or fellowblest who joy to see the honour of their kind or whether mounted on cherubic wing thy swift career is with the whirling orbs comparing things with things in rapture lost and grateful adoration for that light so plenteous rayd into thy mind below from light himself oh look with pity down on humankind a frail erroneous race exalt the spirit of a downward world oer thy dejected country chief preside and be her genius calld her studies raise correct her manners and inspire her youth for though depravd and sunk she brought thee forth and glories in thy name she points thee out to all her sons and bids them eye thy star while in expectance of the second life when time shall be no more thy sacred dust sleeps with her kings and dignifies the scene ,10,1700,1748,1
1,1,James Thomson,see winter comes to rule the varied year  sullen and sad with all his rising train vapours and clouds and storms be these my theme these that exalt the soul to solemn thought and heavenly musing welcome kindred glooms  wishd wintry horrors hail  with frequent foot pleasd have i in my cheerful morn of life when nursd by careless solitude i livd and sung of nature with unceasing joy pleasd have i wanderd thro your rough domains  trod the pure virgin snows my self as pure heard the winds roar and the big torrent burst or seen the deep fermenting tempest brewd in the red evening sky  thus passd the time till thro the opening chambers of the south  lookd out the joyous spring lookd out and smild thee too inspirer of the toiling swain fair autumn yellow robd ill sing of thee of thy last temperd days and sunny calms when all the golden hours are on the wing  attending thy retreat and round thy wain slowrolling onward to the southern sky  behold the wellpoisd hornet hovering hangs with quivering pinions in the genial blaze flys off in airy circles then returns  and hums and dances to the beating ray nor shall the man that musing walks alone and heedless strays within his radiant lists go unchastisd away  sometimes a fleece of clouds widescattering with a lucid veil  soft shadow oer thunruffled face of heaven and thro their dewy sluices shed the sun with temperd influence down then is the time for those whom wisdom and whom nature charm to steal themselves from the degenerate croud  and soar above this little scene of things to tread lowthoughted vice beneath their feet to lay their passions in a gentle calm and woo lone quiet in her silent walks  now solitary and in pensive guise  oft let me wander oer the russet mead or thro the pining grove where scarce is heard one dying strain to chear the woodmans toil sad philomel perchance pours forth her plaint far thro the withering copse mean while the leaves  that late the forest clad with lively green nipt by the drizzly night and sallowhud fall wavering thro the air or shower amain urgd by the breeze that sobs amid the boughs then listning hares forsake the rusling woods  and starting at the frequent noise escape to the rough stubble and the rushy fen then woodcocks oer the fluctuating main that glimmers to the glimpses of the moon stretch their long voyage to the woodland glade  where wheeling with uncertain flight they mock the nimble fowlers aim  now nature droops languish the living herbs with pale decay and all the various family of flowers their sunny robes resign the falling fruits  thro the still night forsake the parentbough that in the first grey glances of the dawn looks wild and wonders at the wintry waste  the year yet pleasing but declining fast soft oer the secret soul in gentle gales  a philosophic melancholly breathes and bears the swelling thought aloft to heaven then forming fancy rouses to conceive what never mingled with the vulgars dream then wake the tender pang the pitying tear  the sigh for suffering worth the wish preferd for humankind the joy to see them blessd and all the social offspring of the heart  oh bear me then to high embowering shades to twilight groves and visionary vales  to weeping grottos and to hoary caves where angelforms are seen and voices heard sighd in low whispers that abstract the soul from outward sense far into worlds remote  now when the western sun withdraws the day  and humid evening gliding oer the sky in her chill progress checks the straggling beams and robs them of their gatherd vapoury prey where marshes stagnate and where rivers wind cluster the rolling fogs and swim along  the duskymantled lawn then slow descend once more to mingle with their watry friends the vivid stars shine out in radiant files and boundless ether glows till the fair moon shows her broad visage in the crimsond east  now stooping seems to kiss the passing cloud now oer the pure cerulean rides sublime wide the pale deluge floats with silver waves oer the skyd mountain to the lowlaid vale from the white rocks with dim reflexion gleams  and faintly glitters thro the waving shades  all night abundant dews unnoted fall and at return of morning silver oer the face of motherearth from every branch depending tremble the translucent gems  and quivering seem to fall away yet cling and sparkle in the sun whose rising eye with fogs bedimd portends a beauteous day  now giddy youth whom headlong passions fire rouse the wild game and stain the guiltless grove  with violence and death yet call it sport to scatter ruin thro the realms of love and peace that thinks no ill but these the muse whose charity unlimited extends as wide as nature works disdains to sing  returning to her nobler theme in view   for see where winter comes himself confest striding the gloomy blast first rains obscure drive thro the mingling skies with tempest foul beat on the mountains brow and shake the woods  that sounding wave below the dreary plain lies overwhelmd and lost the bellying clouds combine and deepening into night shut up the days fair face the wanderers of heaven each to his home retire save those that love  to take their pastime in the troubled air and skimming flutter round the dimply flood the cattle from thuntasted fields return and ask with meaning low their wonted stalls or ruminate in the contiguous shade  thither the houshold feathery people croud the crested cock with all his female train pensive and wet mean while the cottageswain hangs oer thenlivening blaze and taleful there recounts his simple frolic much he talks  and much he laughs nor recks the storm that blows without and rattles on his humble roof  at last the muddy deluge pours along resistless roaring dreadful down it comes from the chapt mountain and the mossy wild  tumbling thro rocks abrupt and sounding far then oer the sanded valley floating spreads calm sluggish silent till again constraind betwixt two meeting hills it bursts a way where rocks and woods oerhang the turbid stream  there gathering triple force rapid and deep it boils and wheels and foams and thunders thro  nature great parent whose directing hand rolls round the seasons of the changeful year how mighty how majestick are thy works  with what a pleasing dread they swell the soul that sees astonishd and astonishd sings you too ye winds that now begin to blow with boisterous sweep i raise my voice to you where are your stores ye viewless beings say  where your aerial magazines reservd against the day of tempest perilous in what untraveld country of the air hushd in still silence sleep you when tis calm  late in the louring sky red fiery streaks  begin to flush about the reeling clouds stagger with dizzy aim as doubting yet which master to obey while rising slow sad in the leadencolourd east the moon wears a bleak circle round her sullyd orb  then issues forth the storm with loud control and the thin fabrick of the pillard air oerturns at once prone on thuncertain main descends thetherial force and plows its waves with dreadful rift from the middeep appears  surge after surge the rising watry war whitening the angry billows rowl immense and roar their terrors thro the shuddering soul of feeble man amidst their fury caught and dashd upon his fate then oer the cliff  where dwells the seamew unconfind they fly and hurrying swallow up the steril shore  the mountain growls and all its sturdy sons stoop to the bottom of the rocks they shade lone on its midnightside and all aghast  the dark wayfaring stranger breathless toils and climbs against the blast  low waves the rooted forest vexd and sheds what of its leafy honours yet remains thus struggling thro the dissipated grove  the whirling tempest raves along the plain and on the cottage thacht or lordly dome keenfastening shakes em to the solid base sleep frighted flies the hollow chimney howls the windows rattle and the hinges creak   then too they say thro all the burthend air long groans are heard shrill sounds and distant sighs that murmurd by the demon of the night warn the devoted wretch of woe and death wild uproar lords it wide the clouds commixt  with stars swiftgliding sweep along the sky all nature reels  but hark the almighty speaks instant the chidden storm begins to pant and dies at once into a noiseless calm  as yet tis midnights reign the weary clouds  slowmeeting mingle into solid gloom now while the drousy world lies lost in sleep let me associate with the lowbrowd night and contemplation her sedate compeer let me shake off thintrusive cares of day and lay the medling senses all aside  and now ye lying vanities of life you evertempting evercheating train where are you now and what is your amount vexation disappointment and remorse  sad sickening thought and yet deluded man a scene of wild disjointed visions past and broken slumbers rises still resolvd with newflushd hopes to run your giddy round  father of light and life thou good supreme  o teach me what is good teach me thy self save me from folly vanity and vice from every low pursuit and feed my soul with knowledge conscious peace and vertue pure sacred substantial neverfading bliss   lo from the livid east or piercing north thick clouds ascend in whose capacious womb a vapoury deluge lies to snow congeald heavy they roll their fleecy world along and the sky saddens with thimpending storm  thro the hushd air the whitening shower descends at first thinwavering till at last the flakes fall broad and wide and fast dimming the day with a continual flow see sudden hoard the woods beneath the stainless burden bow  blackning along the mazy stream it melts earths universal face deephid and chill is all one dazzling waste the labourerox stands coverd oer with snow and then demands the fruit of all his toil the fowls of heaven  tamd by the cruel season croud around the winnowing store and claim the little boon that providence allows the foodless wilds pour forth their brown inhabitants the hare tho timorous of heart and hard beset  by death in various forms dark snares and dogs and more unpitying men the garden seeks urgd on by fearless want the bleating kind eye the bleak heavens and next the glistening earth with looks of dumb despair then sad dispersd dig for the witherd herb thro heaps of snow  now shepherds to your helpless charge be kind baffle the raging year and fill their penns with food at will lodge them below the blast and watch them strict for from the bellowing east in this dire season oft the whirlwinds wing sweeps up the burthen of whole wintry plains in one fierce blast and oer thunhappy flocks lodgd in the hollow of two neighbouring hills the billowy tempest whelms till upwards urgd the valley to a shining mountain swells that curls its wreaths amid the freezing sky  now all amid the rigours of the year in the wild depth of winter while without the ceaseless winds blow keen be my retreat a rural shelterd solitary scene where ruddy fire and beaming tapers join to chase the chearless gloom there let me sit and hold high converse with the mighty dead sages of ancient time as gods reverd as gods beneficent who blest mankind with arts and arms and humanizd a world rousd at thinspiring thought  i throw aside the longlivd volume and deepmusing hail the sacred shades that slowlyrising pass  before my wondering eyes  first socrates truths early champion martyr for his god solon the next who built his commonweal on equitys firm base lycurgus then severely good and him of rugged rome numa who softend her rapacious sons cimon sweetsould and aristides just unconquerd cato virtuous in extreme with that attemperd heroe mild and firm who wept the brother while the tyrant bled scipio the humane warriour gently brave fair learnings friend who early sought the shade to dwell with innocence and truth retird and equal to the best the theban he who single raisd his country into fame thousands behind the boast of greece and rome whom vertue owns the tribute of a verse demand but who can count the stars of heaven who sing their influence on this lower world but see who yonder comes nor comes alone with sober state and of majestic mien the sistermuses in his train  tis he maro the best of poets and of men great homer too appears of daring wing parent of song and equal by his side the british muse joind hand in hand they walk darkling nor miss their way to fames ascent  society divine immortal minds still visit thus my nights for you reservd and mount my soaring soul to deeds like yours silence thou lonely power the door be thine see on the hallowd hour that none intrude save lycidas the friend with sense refind learning digested well exalted faith unstudyd wit and humour ever gay  clear frost succeeds and thro the blew serene for sight too fine ththerial nitre flies to bake the glebe and bind the slipry flood this of the wintry season is the prime pure are the days and lustrous are the nights brightend with starry worlds till then unseen mean while the orient darkly red breathes forth an icy gale that in its mid career arrests the bickering stream the nightly sky and all her glowing constellations pour their rigid influence down it freezes on till morn laterising oer the drooping world lifts her pale eye unjoyous then appears the various labour of the silent night the pendant isicle the frostwork fair where thousand figures rise the crusted snow tho white made whiter by the fining north on blithsome frolics bent the youthful swains while every work of man is laid at rest rush oer the watry plains and shuddering view  the fearful deeps below or with the gun and faithful spaniel range the ravagd fields and adding to the ruins of the year distress the feathery or the footed game  but hark the nightly winds with hollow voice  blow blustering from the south  the frost subdud gradual resolves into a weeping thaw spotted the mountains shine loose sleet descends and floods the country round the rivers swell impatient for the day  those sullen seas  that wash thungenial pole will rest no more beneath the shackles of the mighty north but rousing all their waves resistless heave  and hark  the lengthning roar continuous runs athwart the rifted main at once it bursts and piles a thousand mountains to the clouds ill fares the bark the wretches last resort that lost amid the floating fragments moors beneath the shelter of an icy isle while night oerwhelms the sea and horror looks more horrible can human hearts endure thassembled mischiefs that besiege them round unlistning hunger fainting weariness the roar of winds and waves the crush of ice now ceasing now renewd with louder rage and bellowing round the main nations remote shook from their midnightslumbers deem they hear portentous thunder in the troubled sky more to embroil the deep leviathan and his unweildy train in horrid sport tempest the loosend brine while thro the gloom far from the dire unhospitable shore the lyons rage the wolfs sad howl is heard and all the fell society of night yet providence that everwaking eye looks down with pity on the fruitless toil of mortals lost to hope and lights them safe thro all this dreary labyrinth of fate  tis done  dread winter has subdud the year and reigns tremenduous oer the desart plains how dead the vegetable kingdom lies how dumb the tuneful horror wide extends his solitary empire  now fond man behold thy picturd life pass some few years thy flowring spring thy shortlivd summers strength thy sober autumn fading into age and pale concluding winter shuts thy scene and shrouds thee in the grave  where now are fled those dreams of greatness those unsolid hopes of happiness those longings after fame those restless cares those busy bustling days those nights of secret guilt those veering thoughts fluttring twixt good and ill that shard thy life all now are vanishd vertue sole survives immortal mankinds neverfailing friend his guide to happiness on high  and see tis come the glorious morn the second birth of heaven and earth  awakening nature hears thalmighty trumpets voice and starts to life renewd unfading now theternal scheme that dark perplexity that mystic maze which sight coud never trace nor heart conceive to reasons eye refind clears up apace angels and men astonishd pause  and dread to travel thro the depths of providence untryd unbounded ye vain learned see and prostrate in the dust adore that power and goodness oft arraignd see now the cause why conscious worth oppressd in secret long mournd unregarded why the good mans share in life was gall and bitterness of soul why the lone widow and her orphans pind in starving solitude while luxury in palaces lay prompting her low thought to form unreal wants why heavenborn faith and charity prime grace wore the red marks of persecutions scourge why licensd pain that cruel spoiler that embosomd foe imbitterd all our bliss ye good distrest ye noble few that here unbending stand beneath lifes pressures  yet a little while and all your woes are past time swiftly fleets and wishd eternity approaching brings life undecaying love without allay pure flowing joy and happiness sincere ,10,1700,1748,1
2,2,James Thomson, fareweel ye bughts an all your ewes  an fields whare bioomin heather grows  nae mair the sportin lambs ill see  since my true loves forsaken me   chorus  nae mair ill hear wi pleasure sing  the cheerfu lavrock in the spring  but sad in grief now i maun mourn  far far frae her oer loganburn    alas nae mair well meetings keep  at bughts whan herds ca in their sheep  nae mair amang the threshes green  well row where we hae aften been  chorus    nae mair for me  ye vilets blaw  or lilies whiter than the snaw  nae mair your pleasures i can bear  while i am absent frae my dear  chorus    i ken the cause of my hard fate  in courtin her i was too blate  i never kissd my lass at a  but when we met an gaed awa  chorus    oh could my tears again bring back  the days now past id no be slack  for evry kiss she got before  i wad gie to her now a score  chorus    o fortune i wad you favour me  in some snug corner her to see  my heart i wad to her reveal  an in her arms my pardon seal  chorus ,10,1700,1748,1
3,3,James Thomson,give a man a horse he can ride     give a man a boat he can sail  and his rank and wealth his strength and health     on sea nor shore shall fail   give a man a pipe he can smoke     give a man a book he can read  and his home is bright with a calm delight     though the room be poor indeed   give a man a girl he can love     as i o my love love thee  and his heart is great with the pulse of fate     at home on land on sea ,10,1700,1748,1
4,4,James Thomson,sweet ravelrig i neer could part  from thee but wi a dowie heart  when i think on the happy days  i spent in youth about your braes  when innocence my steps did guide  where murmuring streams did sweetly glide  beside the braes well stored wi trees  and sweetest flowrs that fend the bees   and there the tuneful tribe doth sing  while lightly flitting on the wing  and conscious peace was ever found  within your mansion to abound  sweet be thy former owners rest  and peace to him thats now possesst  of all thy beauties great and small  lang may he live to bruik them all ,10,1700,1748,1
5,5,James Thomson,as we rush as we rush in the train     the trees and the houses go wheeling back  but the starry heavens above the plain     come flying on our track   all the beautiful stars of the sky     the silver doves of the forest of night  over the dull earth swarm and fly     companions of our flight   we will rush ever on without fear     let the goal be far the flight be fleet  for we carry the heavens with us dear     while the earth slips from our feet,10,1700,1748,1
6,6,James Thomson,hail mildly pleasing solitude companion of the wise and good but from whose holy piercing eye the herd of fools and villains fly oh how i love with thee to walk and listen to thy whisperd talk which innocence and truth imparts and melts the most obdurate hearts   a thousand shapes you wear with ease and still in every shape you please now wrapt in some mysterious dream a lone philosopher you seem now quick from hill to vale you fly and now you sweep the vaulted sky a shepherd next you haunt the plain and warble forth your oaten strain a lover now with all the grace of that sweet passion in your face then calmd to friendship you assume the gentlelooking hertfords bloom as with her musidora she her musidora fond of thee amid the long withdrawing vale awakes the rivald nightingale   thine is the balmy breath of morn just as the dewbent rose is born and while meridian fervours beat thine is the woodland dumb retreat but chief when evening scenes decay and the faint landskip swims away thine is the doubtful soft decline and that best hour of musing thine   descending angels bless thy train the virtues of the sage and swain plain innocence in white arrayd before thee lifts her fearless head religions beams around thee shine and cheer thy glooms with light divine about thee sports sweet liberty and rapt urania sings to thee   oh let me pierce thy secret cell and in thy deep recesses dwell perhaps from norwoods oakclad hill when meditation has her fill i just may cast my careless eyes where londons spiry turrets rise think of its crimes its cares its pain then shield me in the woods again,10,1700,1748,1
7,7,James Thomson,my love oer the water bends dreaming     it glideth and glideth away  she sees there her own beauty gleaming     through shadow and ripple and spray   o tell her thou murmuring river     as past her your light wavelets roll  how steadfast that image for ever     shines pure in pure depths of my soul,10,1700,1748,1
8,8,James Thomson,when britain first at heavens command arose from out the azure main this was the charter of the land and guardian angels sung this strain rule britannia rule the waves britons never will be slaves   the nations not so blest as thee must in their turns to tyrants fall while thou shalt flourish great and free the dread and envy of them all rule britannia rule the waves britons never will be slaves   still more majestic shalt thou rise more dreadful from each foreign stroke as the loud blast that tears the skies serves but to root thy native oak rule britannia rule the waves britons never will be slaves   thee haughty tyrants neer shall tame all their attempts to bend thee down will but arouse thy generous flame but work their woe and thy renown rule britannia rule the waves britons never will be slaves   to thee belongs the rural reign thy cities shall with commerce shine all thine shall be the subject main and every shore it circles thine rule britannia rule the waves britons never will be slaves   the muses still with freedom found shall to thy happy coast repair blest isle with matchless beauty crownd and manly hearts to guard the fair rule britannia rule the waves britons never will be slaves,10,1700,1748,1
9,9,James Thomson,the wine of love is music     and the feast of love is song  and when love sits down to the banquet     love sits long   sits long and arises drunken     but not with the feast and the wine  he reeleth with his own heart     that great rich vine ,10,1700,1748,1
